COUNTRY,100,101-200,201-500,501-1000,1001-5000,5001-10000,ALL
Guyana,0,0,0,0,0,1,6
Togo,0,0,0,0,0,1,5
Belize,0,0,0,0,0,1,4
Guinea,0,0,0,0,0,1,4
Liberia,0,0,0,0,0,1,4
Antigua and Barbuda,0,0,0,0,0,1,3
North Korea,0,0,0,0,0,1,3
Seychelles,0,0,0,0,0,1,3
Suriname,0,0,0,0,0,1,3
Bahamas,0,0,0,0,0,1,2
Republic of the Congo,0,0,0,0,0,1,2
Niger,0,0,0,0,0,1,2
Swaziland,0,0,0,0,0,1,2
American Samoa,0,0,0,0,0,1,1
Anguilla,0,0,0,0,0,1,1
Djibouti,0,0,0,0,0,1,1
Faroe Islands,0,0,0,0,0,1,1
Micronesia FSM,0,0,0,0,0,1,1
Monaco,0,0,0,0,0,1,1
Réunion,0,0,0,0,0,1,1
San Marino,0,0,0,0,0,1,1
"Bonaire, Sint Eustatius and Saba",0,0,0,0,0,1,1
Somalia,0,0,0,0,0,0,83
Gabon,0,0,0,0,0,0,12
Curaçao,0,0,0,0,0,0,8
Mali,0,0,0,0,0,0,8
Timor-Leste,0,0,0,0,0,0,8
Cayman Islands ,0,0,0,0,0,0,5
Saint Lucia,0,0,0,0,0,0,5
Aruba,0,0,0,0,0,0,4
Chad,0,0,0,0,0,0,4
Maldives,0,0,0,0,0,0,4
Mauritania,0,0,0,0,0,0,4
Andorra,0,0,0,0,0,0,3
British Virgin Islands,0,0,0,0,0,0,2
Kiribati,0,0,0,0,0,0,2
Montserrat,0,0,0,0,0,0,2
Saint Vincent and Grenadines,0,0,0,0,0,0,2
Samoa,0,0,0,0,0,0,2
Turks and Caicos Islands ,0,0,0,0,0,0,2
Bermuda,0,0,0,0,0,0,1
Central African Republic,0,0,0,0,0,0,1
Comoros,0,0,0,0,0,0,1
Equatorial Guinea,0,0,0,0,0,0,1
French Guiana,0,0,0,0,0,0,1
Isle of Man ,0,0,0,0,0,0,1
Marshall Islands,0,0,0,0,0,0,1
Martinique,0,0,0,0,0,0,1
Niue ,0,0,0,0,0,0,1
Northern Mariana Islands,0,0,0,0,0,0,1
Palau,0,0,0,0,0,0,1
Solomon Islands,0,0,0,0,0,0,1
Tonga,0,0,0,0,0,0,1
Turkmenistan,0,0,0,0,0,0,1
Vanuatu,0,0,0,0,0,0,1
